num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
25,0.99,erdos_renyi,0.75,2,1000,51,23.809911421488604
10,0.25,complete,0.5,6,200,11,3.7878787878787876
90,0.75,barabasi_albert,0.1,5,500,501,237.989898989899
50,0.9,barabasi_albert,0.75,8,100,4,1.75968992248062
100,0.1,erdos_renyi,0.9,10,1000,101,45.28546380866959
25,0.25,complete,0.5,6,50,101,44.71555555555556
25,0.25,complete,0.5,7,500,4,1.777777777777778
100,0.75,erdos_renyi,0.75,3,500,501,241.05677304828
50,0.25,erdos_renyi,0.1,8,200,11,5.215835148041472
75,0.99,complete,0.5,10,200,51,24.93859968450431
25,0.1,barabasi_albert,0.75,5,50,51,12.083333333333334
90,0.1,complete,0.1,5,500,51,24.495833333333334
25,0.5,barabasi_albert,0.1,2,200,51,26.028985507246375
10,0.99,erdos_renyi,0.1,9,1000,4,1.777777777777778
50,0.75,complete,0.9,4,200,501,233.88053740014524
25,0.99,erdos_renyi,0.1,10,500,11,5.204570791527313
25,0.99,barabasi_albert,0.25,6,50,101,45.24444444444445
75,0.25,complete,0.99,6,100,51,22.6988936988937
10,0.9,complete,0.75,4,200,101,39.291666666666664
75,0.75,complete,0.1,7,50,51,25.185808105077687
90,0.1,barabasi_albert,0.75,3,500,101,31.705882352941178
10,0.99,complete,0.9,10,500,51,20.62878787878788
100,0.25,barabasi_albert,0.9,6,1000,4,1.3673469387755102
50,0.99,barabasi_albert,0.1,5,500,4,1.8421052631578947
75,0.99,erdos_renyi,0.75,5,500,501,240.48237563694468
100,0.9,complete,0.1,6,100,501,247.21848110736997
100,0.75,erdos_renyi,0.99,5,100,501,234.37348341151326
75,0.5,erdos_renyi,0.9,6,200,51,23.754478290743645
75,0.99,barabasi_albert,0.75,10,1000,101,40.979166666666664
100,0.75,complete,0.9,3,100,4,1.917474856321839
75,0.1,barabasi_albert,0.75,6,200,11,3.3095238095238098
50,0.5,complete,0.25,2,100,501,252.79847494553374
75,0.75,barabasi_albert,0.25,4,50,4,1.8960244648318045
10,0.9,erdos_renyi,0.5,8,50,11,4.706196581196582
10,0.1,complete,0.9,8,500,101,16.666666666666668
75,0.25,erdos_renyi,0.1,2,1000,101,52.989134113508534
10,0.9,erdos_renyi,0.9,9,50,51,19.962179487179487
100,0.5,erdos_renyi,0.5,3,1000,4,1.9535184581907987
50,0.9,barabasi_albert,0.5,9,50,11,4.941860465116279
25,0.9,erdos_renyi,0.1,9,100,4,1.9221726253996712
50,0.1,barabasi_albert,0.75,9,1000,4,1.2592592592592593
75,0.75,barabasi_albert,0.1,8,500,11,5.036697247706422
10,0.25,barabasi_albert,0.99,4,50,11,3.0833333333333335
10,0.25,erdos_renyi,0.75,2,100,101,36.44074074074074
100,0.9,erdos_renyi,0.9,4,1000,4,1.9250650772214497
10,0.75,complete,0.5,4,1000,11,4.363636363636363
10,0.75,barabasi_albert,0.5,7,100,4,1.5833333333333333
25,0.5,erdos_renyi,0.99,5,500,51,20.10946491487518
50,0.1,erdos_renyi,0.1,6,1000,11,4.936736919675756
25,0.1,barabasi_albert,0.75,5,100,4,1.0833333333333333
10,0.5,erdos_renyi,0.9,4,1000,51,15.305931495405181
75,0.75,barabasi_albert,0.99,4,50,11,4.003058103975535
