num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
90,0.9,complete,0.75,5,500,4,1.9223085460599334
25,0.1,complete,0.99,5,200,101,26.033333333333335
50,0.5,complete,0.99,2,50,51,22.627450980392158
75,0.5,erdos_renyi,0.75,3,200,51,23.966810966810968
75,0.99,erdos_renyi,0.5,3,200,11,5.361415025528811
25,0.9,erdos_renyi,0.9,7,100,11,4.8062015503875966
100,0.9,barabasi_albert,0.1,4,100,4,1.8977272727272727
10,0.25,complete,0.1,2,500,101,29.727272727272727
75,0.99,erdos_renyi,0.1,6,1000,51,24.571065067248274
75,0.25,erdos_renyi,0.1,5,50,51,24.451704545454547
25,0.5,barabasi_albert,0.1,2,100,51,23.130434782608695
100,0.25,barabasi_albert,0.99,2,50,51,18.591836734693878
75,0.9,barabasi_albert,0.5,5,200,501,209.64885496183206
75,0.5,barabasi_albert,0.75,7,100,51,19.205479452054796
25,0.99,erdos_renyi,0.9,8,1000,501,219.11301369863014
100,0.5,barabasi_albert,0.75,9,500,11,4.23469387755102
25,0.25,complete,0.1,10,1000,11,4.386666666666667
25,0.5,barabasi_albert,0.25,7,100,51,17.608695652173914
25,0.5,barabasi_albert,0.99,10,200,501,126.30434782608695
25,0.99,barabasi_albert,0.75,10,50,4,1.4444444444444444
100,0.9,complete,0.75,10,50,101,48.69674523007856
25,0.25,barabasi_albert,0.1,5,50,4,1.3636363636363635
75,0.9,barabasi_albert,0.5,6,200,4,1.7709923664122138
25,0.9,complete,0.75,3,200,101,42.27407407407407
75,0.5,complete,0.1,3,50,51,25.050468637346793
25,0.5,barabasi_albert,0.99,3,200,11,3.608695652173913
75,0.99,barabasi_albert,0.99,5,50,51,18.75
25,0.75,barabasi_albert,0.9,4,50,51,14.088235294117647
25,0.75,complete,0.25,2,50,51,24.11111111111111
10,0.1,complete,0.99,9,50,501,102.25
90,0.75,barabasi_albert,0.75,2,50,51,21.174242424242426
25,0.1,erdos_renyi,0.99,4,50,101,35.69230769230769
75,0.9,barabasi_albert,0.1,5,200,101,45.213740458015266
25,0.1,barabasi_albert,0.9,2,200,51,8.25
10,0.25,erdos_renyi,0.99,6,200,501,122.44444444444444
50,0.5,erdos_renyi,0.99,3,100,51,22.085758039816234
